Source,Teff[K],Luminosity[Lsun],Ref,e_Teff[K],e_Luminosity[Lsun],logmass[Msun],lw_logmass[Msun],up_logmass[Msun],logage[yrs],lw_logage[yrs],up_logage[yrs],mass[Msun],lw_mass[Msun],up_mass[Msun],age[Myrs],lw_age[Myrs],up_age[Myrs],flag
J10533978-7712338,3560.0,0.016,M16b,163.9440586211761,0.0036841361487904736,-0.45999999999999863,-0.5699999999999987,-0.36999999999999855,6.48,,,0.3467368504525327,0.2691534803926924,0.42657951880159406,3.019951720402019,,,toofaint
J10555973-7724399,4060.0,0.18,M16a,186.9699095511166,0.04144653167389282,-0.1257574905606744,-0.16575749056067446,-0.045757490560674366,7.178970004335987,6.918970004335993,7.448970004335981,0.7485873939924051,0.6827198175262664,0.9000000000000016,15.099758602008981,8.297934537187306,28.117066259515035,good
J10561638-7630530,2935.0,0.08,M16b,67.58087247937524,0.018420680743952363,-0.9599999999999991,-1.0099999999999991,-0.879999999999999,5.7089700043360185,5.698970004336019,5.908970004336014,0.10964781961431873,0.09772372209558126,0.131825673855641,0.5116464961403767,0.49999999999999994,0.8109050486794565,good
J10563044-7711393,4060.0,0.43,M16a,186.9699095511166,0.09901115899874398,-0.06575749056067437,-0.1457574905606744,0.024242509439325707,6.608970004335999,6.348970004336005,6.878970004335994,0.8594933274192939,0.7148954112518545,1.0574077994455786,4.0641525808203145,2.2334179607547444,7.567806242180602,good
J10574219-7659356,3415.0,0.53,M16b,78.63328092574669,0.12203700992868445,-0.5299999999999987,-0.5699999999999987,-0.47999999999999865,5.768970004336017,5.698970004336019,5.858970004336015,0.2951209226666395,0.2691534803926924,0.3311311214825921,0.5874487774697628,0.49999999999999994,0.7227198853729581,good
J10580597-7711501,3060.0,0.014,M16b,70.45910384561783,0.0032236191301916644,-0.9799999999999991,-1.0799999999999992,-0.889999999999999,6.998970004335991,6.818970004335995,7.178970004335987,0.10471285480509017,0.08317637711026726,0.1288249551693137,9.976311574843761,6.591283692781672,15.099758602008981,good
J10581677-7717170,4900.0,1.17,M14,225.6533391134166,0.26940245588030337,0.10424250943932575,0.0642425094393257,0.14424250943932582,6.688970004335998,6.438970004336003,6.948970004335992,1.2712837901604814,1.1594245965238228,1.3939349570212363,4.886186104778815,2.7477043692880225,8.891397050194067,good
J10590108-7722407,4060.0,0.38,M16a,186.9699095511166,0.08749823353377376,-0.06575749056067437,-0.13575749056067443,0.014242509439325715,6.688970004335998,6.428970004336003,6.958970004335992,0.8594933274192939,0.7315474645476905,1.0333382593471965,4.886186104778815,2.685158981851167,9.098504293049354,good
J10590699-7701404,5110.0,3.26,M16a,235.32419650399152,0.7506427403160588,0.2342425094393259,0.18424250943932582,0.3042425094393259,6.298970004336006,6.068970004336011,6.538970004336001,1.7149146461669265,1.5284192872155733,2.0148490247115105,1.9905358527674275,1.1721144076599397,3.4591548545945394,good
J11004022-7619280,3270.0,0.1,M16b,75.29453254090528,0.023025850929940462,-0.6299999999999988,-0.6999999999999988,-0.5599999999999987,6.4589700043360025,6.278970004336006,6.6489700043359985,0.23442288153199287,0.1995262314968885,0.27542287033381746,2.8771996866856773,1.9009469816027516,4.456254690668519,good
J11022491-7733357,4900.0,1.45,M14,225.6533391134166,0.3338748384841367,0.1342425094393258,0.09424250943932577,0.2242425094393259,6.558970004336,6.3189700043360055,6.808970004335995,1.3622051235925903,1.242345838142599,1.6758784229965846,3.622179800374797,2.0843469173516134,6.441247758465318,good
J11023265-7729129,3415.0,0.26,M16b,78.63328092574669,0.0598672124178452,-0.5299999999999987,-0.5899999999999987,-0.45999999999999863,6.08897000433601,5.908970004336014,6.248970004336007,0.2951209226666395,0.2570395782768871,0.3467368504525327,1.2273544578424915,0.8109050486794565,1.7740669461678291,good
J11025504-7721508,3200.0,0.15,M16a,73.68272297580945,0.03453877639491069,-0.7299999999999989,-0.7999999999999989,-0.6599999999999988,6.158970004336009,5.998970004336012,6.338970004336005,0.18620871366628722,0.15848931924611173,0.21877616239495584,1.44201575156327,0.997631157484425,2.182579161200761,good
J11040425-7639328,3200.0,0.026,M16b,73.68272297580945,0.00598672124178452,-0.7599999999999989,-0.849999999999999,-0.6599999999999988,7.04897000433599,6.848970004335994,7.2589700043359855,0.17378008287493799,0.14125375446227575,0.21877616239495584,11.193605692840954,7.062687723113372,18.153902738503675,good
J11040909-7627193,4350.0,1.5,M16a,200.32490309048205,0.3453877639491069,-0.05575749056067439,-0.15575749056067448,0.044242509439325686,6.028970004336012,5.798970004336017,6.248970004336007,0.8795134988602311,0.6986224049658236,1.1072418937311455,1.0689810447510986,0.6294627058970805,1.7740669461678291,good
