Source,Teff,e_Teff,Luminosity,e_Luminosity,logmass[msolar],lw_logmass[msolar],up_logmass[msolar],logage[yrs],lw_logage[yrs],up_logage[yrs]
Sz65,4060,187.0,0.869,0.3623,-0.13999999999999838,-0.2399999999999984,-0.039999999999998245,6.10897000433601,5.788970004336017,6.418970004336003
Sz71,3632,167.0,0.327,0.142,-0.36999999999999855,-0.47999999999999865,-0.24999999999999847,6.238970004336007,5.8989700043360145,6.568970004336
J16124373-3815031,3705,171.0,0.39,0.2691,-0.3199999999999985,-0.4299999999999986,-0.2099999999999984,6.238970004336007,5.808970004336016,6.658970004335998
Sz72,3560,164.0,0.272,0.116,-0.4099999999999986,-0.5299999999999987,-0.2799999999999985,6.238970004336007,5.878970004336015,6.568970004336
Sz77,4060,187.0,0.593,0.2428,-0.11999999999999834,-0.2099999999999984,-0.019999999999998262,6.378970004336004,6.0389700043360115,6.718970004335997
J16085324-3914401,3415,79.0,0.198,0.1477,-0.5199999999999987,-0.5899999999999987,-0.4499999999999986,6.208970004336008,5.698970004336019,6.628970004335999
Sz131,3415,79.0,0.15,0.0583,-0.5099999999999987,-0.5799999999999987,-0.4299999999999986,6.4589700043360025,6.1789700043360085,6.748970004335996
Sz66,3415,79.0,0.216,0.092,-0.5299999999999987,-0.5999999999999988,-0.45999999999999863,6.208970004336008,5.928970004336014,6.488970004336002
Sz95,3415,79.0,0.267,0.1842,-0.5299999999999987,-0.5999999999999988,-0.45999999999999863,6.068970004336011,5.698970004336019,6.418970004336003
V1094Sco,4205,193.0,1.21,0.8633,-0.049999999999998254,-0.13999999999999838,0.0500000000000016,6.068970004336011,5.718970004336018,6.428970004336003
